Membership No  Date Joined  Active  
    28752      2020-12-20   no    
    62955      2018-11-3    no    
    47125      2020-9-8     yes   
    64089      2015-11-10   no    
    44626      2019-9-4     no    
    87967      2020-12-25   no    
    59216      2016-3-5     yes   
    84118      2016-6-21    yes   
    20733      2020-8-3     yes   
    71097      2018-11-23   no    
    75940      2015-6-20    yes   
    66967      2018-8-17    yes   
    79982      2018-8-13    yes   
    46395      2016-3-16    yes   
    28117      2016-1-1     yes   
    75509      2020-7-24    yes   
    71019      2015-6-24    yes   
    66226      2020-8-4     no    
    66656      2018-12-3    yes   
    50037      2015-9-15    no    
