Membership No  Date Joined  Active  
    13500      2019-3-21    yes   
    66541      2018-11-2    no    
    88050      2016-9-15    no    
    83773      2020-4-12    no    
    94474      2017-1-4     yes   
    37783      2019-2-2     no    
    82929      2018-4-1     no    
    95081      2015-3-6     no    
    79466      2018-12-6    yes   
    46789      2018-3-8     no    
    53065      2019-10-6    no    
    39142      2017-6-9     yes   
    38035      2015-10-1    yes   
    98071      2019-3-14    no    
    63797      2015-5-18    yes   
    76272      2016-5-7     yes   
    47771      2016-2-13    yes   
    62477      2020-7-3     yes   
    89114      2018-2-23    no    
    39542      2015-11-23   yes   
